,customer_Id,DOB,Gender,city_code,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,prod_cat,prod_sub_cat_code,prod_subcat
0,268408,2-1-70,M,4.0,87243835584,268408,13-01-2014,7,5,5,187,98.175,1033.175,TeleShop,Books,7,Fiction
1,268408,2-1-70,M,4.0,87243835584,268408,13-01-2014,7,5,5,187,98.175,1033.175,TeleShop,Books,12,Academic
2,268408,2-1-70,M,4.0,87243835584,268408,13-01-2014,7,5,5,187,98.175,1033.175,TeleShop,Books,10,Non-Fiction
3,268408,2-1-70,M,4.0,87243835584,268408,13-01-2014,7,5,5,187,98.175,1033.175,TeleShop,Books,11,Children
4,268408,2-1-70,M,4.0,87243835584,268408,13-01-2014,7,5,5,187,98.175,1033.175,TeleShop,Books,3,Comics
5,268408,2-1-70,M,4.0,87243835584,268408,13-01-2014,7,5,5,187,98.175,1033.175,TeleShop,Books,6,DIY
6,268408,2-1-70,M,4.0,16197868036,268408,16-12-2013,1,4,-5,-210,110.25,-1160.25,Flagship store,Bags,1,Mens
7,268408,2-1-70,M,4.0,16197868036,268408,16-12-2013,1,4,-5,-210,110.25,-1160.25,Flagship store,Bags,4,Women
8,268408,2-1-70,M,4.0,16197868036,268408,12/12/2013,1,4,5,210,110.25,1160.25,Flagship store,Bags,1,Mens
9,268408,2-1-70,M,4.0,16197868036,268408,12/12/2013,1,4,5,210,110.25,1160.25,Flagship store,Bags,4,Women
